Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Pengembalian Simpanan Wajib Anggota Aktif,4630000,,717898030,,
,penerimaan simpanan wajib melalui bank,,0,717898030,,
,,,,717898030,,
,,,,,,
CADANGAN,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,1469969423,,
2,Pembagian SHU 2018,0,0,1469969423,,
,,0,0,1469969423,,
,,0,0,1469969423,,
,,,,1469969423,,
,,,,,,
DONASI,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,11958150,,
2,,0,0,11958150,,
,,0,0,11958150,,
,,0,0,11958150,,
,,,,11958150,,
,,,,,,
,,,,,,
SHU RUGI,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,0,,
2,,0,0,0,,
3,,0,0,0,,
4,,0,0,0,,
,,,,0,,
